Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229603	833080053	10689	0	""	2022-12-05	09:40:03	6310.7666	469.25327	2047.0547	39.7467	55.0003	27.951	37.0429	0.00123461	11.86	54.4998	50.5	-0.346409	14.8861	228
DATA	1670229604	833080053	10693	0	""	2022-12-05	09:40:04	6315.4883	469.57495	2046.3805	39.7463	55.0003	27.9542	37.0429	0.00123679	11.8601	54.4998	-66.75	-0.346409	14.8857	251
DATA	1670229605	833080053	10697	0	""	2022-12-05	09:40:05	6320.9414	469.60187	2045.9412	39.7475	55.0003	27.9518	37.0429	0.00123018	11.8601	54.4998	74.5	-0.346409	14.8857	131
DATA	1670229606	833080053	10701	0	""	2022-12-05	09:40:06	6325.0425	469.9079	2045.5601	39.7475	55.0003	27.9522	37.0427	0.0012302	11.86	54.4998	-62	-0.346409	14.8857	108
DATA	1670229607	833080053	10705	0	""	2022-12-05	09:40:07	6329.1094	469.41003	2045.1368	39.7459	55.0003	27.9518	37.0427	0.00123657	11.8604	54.4998	93.5	-0.346409	14.8861	126
DATA	1670229608	833080053	10709	0	""	2022-12-05	09:40:08	6335.1665	469.59503	2044.5804	39.7479	55.0003	27.9506	37.0427	0.00123426	11.8603	54.4998	166.5	-0.346409	14.8845	188
DATA	1670229609	832788944	10713	0	""	2022-12-05	09:40:09	6339.7554	470.43427	2043.7124	39.7475	55.0003	27.9526	37.0427	0.00124437	11.8597	54.4998	4	-0.346409	14.8853	  9
DATA	1670229610	832788944	10717	0	""	2022-12-05	09:40:10	6345.0078	471.20929	2043.2841	39.7475	55.0003	27.9522	37.0427	0.00124084	11.8601	54.4998	23.5	-0.346409	14.8857	124
DATA	1670229611	832788944	10721	0	""	2022-12-05	09:40:11	6350.667	471.48599	2042.5966	39.7463	55.0003	27.9514	37.0427	0.00124063	11.8601	54.4998	40.75	-0.346409	14.8853	141
DATA	1670229612	832788944	10725	0	""	2022-12-05	09:40:12	6355.9351	470.96277	2042.2612	39.7483	55.0003	27.9518	37.0425	0.00123883	11.8599	54.4998	-25.25	-0.346409	14.8861	250
DATA	1670229613	832788944	10729	0	""	2022-12-05	09:40:13	6359.2344	472.03265	2041.8687	39.7467	55.0003	27.9518	37.0425	0.00124535	11.8599	54.4996	73	-0.346409	14.8865	 67
DATA	1670229614	832788944	10733	0	""	2022-12-05	09:40:14	6364.606	470.88162	2040.9991	39.7471	55.0003	27.9506	37.0427	0.00123526	11.86	54.4998	-37	-0.346409	14.8857	200
