Model:	LI-7820
SN:	TG20-01079
Software Version:	2.1.41
Timestamp:	2022-09-28 10:34:19
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1664361567	556468009	75095	0	""	2022-09-28	12:39:27	12047.852	344.68707	39.8275	55.0003	31.6035	34.8853	0.00220924	38.4356	54.4998	14.9	-0.10586	14.2646	156
DATA	1664361568	556343078	75105	0	""	2022-09-28	12:39:28	12053.709	344.57504	39.827	55.0003	31.6027	34.8853	0.00220104	38.4361	54.4998	9.5	-0.10586	14.2645	 24
DATA	1664361569	556343078	75115	0	""	2022-09-28	12:39:29	12056.087	344.53357	39.8278	55.0003	31.6035	34.8853	0.00219849	38.4347	54.4998	-9.4	-0.10586	14.2645	158
DATA	1664361570	556343078	75125	0	""	2022-09-28	12:39:30	12059.484	344.20834	39.828	55.0003	31.6043	34.8853	0.00220269	38.433	54.4998	-8.5	-0.10586	14.2648	 20
DATA	1664361571	556217193	75135	0	""	2022-09-28	12:39:31	12064.05	344.41467	39.8275	55.0003	31.6053	34.8853	0.00220422	38.4334	54.4998	4.2	-0.10586	14.2649	  8
DATA	1664361572	556217193	75145	0	""	2022-09-28	12:39:32	12066.346	344.27353	39.8273	55.0003	31.6053	34.8853	0.00220523	38.4331	54.4998	8.3	-0.10586	14.2646	 66
DATA	1664361573	556217193	75155	0	""	2022-09-28	12:39:33	12071.338	344.56235	39.8277	55.0003	31.6023	34.8853	0.00220864	38.437	54.4998	7.9	-0.10586	14.2646	 36
DATA	1664361574	556088209	75165	0	""	2022-09-28	12:39:34	12073.634	344.59024	39.8273	55.0003	31.6017	34.8853	0.00220053	38.4364	54.4998	35.2	-0.10586	14.2643	122
DATA	1664361575	556088209	75175	0	""	2022-09-28	12:39:35	12076.197	344.92673	39.8272	55.0003	31.6022	34.8853	0.00220451	38.4356	54.4998	7.5	-0.10586	14.264	 40
DATA	1664361576	556088209	75185	0	""	2022-09-28	12:39:36	12079.295	344.81598	39.8275	55.0003	31.6018	34.8853	0.00220777	38.4336	54.4998	3.7	-0.10586	14.264	 64
DATA	1664361577	555965185	75195	0	""	2022-09-28	12:39:37	12085.107	344.89102	39.8277	55.0003	31.6022	34.8853	0.00220116	38.434	54.4998	-24.8	-0.10586	14.2643	130
DATA	1664361578	555965185	75205	0	""	2022-09-28	12:39:38	12084.634	344.78174	39.8283	55.0003	31.6038	34.8853	0.00220895	38.4352	54.4998	30.2	-0.10586	14.2632	148
DATA	1664361579	555965185	75215	0	""	2022-09-28	12:39:39	12088.758	344.89474	39.827	55.0003	31.6017	34.8853	0.00220701	38.4341	54.4998	16.6	-0.10586	14.2634	106
DATA	1664361580	555843114	75225	0	""	2022-09-28	12:39:40	12090.369	344.42932	39.8277	55.0003	31.6023	34.8853	0.0022052	38.4333	54.4998	-23.1	-0.10586	14.264	 48
DATA	1664361581	555843114	75235	0	""	2022-09-28	12:39:41	12092.726	344.89407	39.8275	55.0003	31.5983	34.8853	0.00220445	38.4362	54.4998	3.2	-0.10586	14.2637	 86
DATA	1664361582	555843114	75245	0	""	2022-09-28	12:39:42	12096.671	344.76218	39.8269	55.0003	31.6007	34.8853	0.00220605	38.4339	54.4998	45.7	-0.10586	14.2634	137
DATA	1664361583	555714130	75255	0	""	2022-09-28	12:39:43	12098.581	344.83463	39.8272	55.0003	31.6015	34.8853	0.00220187	38.4336	54.4998	10.9	-0.10586	14.2634	126
DATA	1664361584	555714130	75265	0	""	2022-09-28	12:39:44	12098.169	344.9166	39.8267	55.0003	31.6032	34.8853	0.0022061	38.4331	54.4998	-27.7	-0.10586	14.2629	 77
DATA	1664361585	555714130	75275	0	""	2022-09-28	12:39:45	12102.615	344.70718	39.8272	55.0003	31.6032	34.8853	0.00220765	38.4324	54.4998	2	-0.10586	14.2629	223
DATA	1664361586	555585145	75285	0	""	2022-09-28	12:39:46	12105.801	344.53955	39.8278	55.0003	31.6023	34.8853	0.0022088	38.433	54.4998	-16	-0.10586	14.263	189
DATA	1664361587	555585145	75295	0	""	2022-09-28	12:39:47	12107.401	344.53708	39.8267	55.0003	31.6014	34.8853	0.00221114	38.4335	54.4998	6.6	-0.10586	14.2627	 80
DATA	1664361588	555585145	75305	0	""	2022-09-28	12:39:48	12108.718	344.51541	39.8267	55.0003	31.6012	34.8853	0.00220843	38.4313	54.4998	0	-0.10586	14.2627	231
DATA	1664361589	555457115	75315	0	""	2022-09-28	12:39:49	12111.652	344.45282	39.8282	55.0003	31.6025	34.8853	0.00221499	38.4311	54.4998	-23.2	-0.10586	14.2626	169
DATA	1664361590	555457115	75325	0	""	2022-09-28	12:39:50	12113.557	344.84848	39.8277	55.0003	31.6005	34.8853	0.00221337	38.433	54.4998	-9.7	-0.10586	14.2626	 78
DATA	1664361591	555457115	75335	0	""	2022-09-28	12:39:51	12116.391	344.52164	39.827	55.0003	31.601	34.8853	0.00220937	38.434	54.4998	16.4	-0.10586	14.2626	219
DATA	1664361592	555330991	75345	0	""	2022-09-28	12:39:52	12120.756	344.7392	39.8275	55.0003	31.6014	34.8853	0.00220782	38.4327	54.4998	-32.2	-0.10586	14.2621	115
DATA	1664361593	555330991	75355	0	""	2022-09-28	12:39:53	12123.089	344.45358	39.8265	55.0003	31.6001	34.8853	0.00220143	38.4348	54.4998	20.3	-0.10586	14.2618	120
DATA	1664361594	555330991	75365	0	""	2022-09-28	12:39:54	12124.602	344.99957	39.8275	55.0003	31.6015	34.8853	0.00221059	38.4339	54.4998	33.9	-0.10586	14.2621	146
DATA	1664361595	555202007	75375	0	""	2022-09-28	12:39:55	12126.358	344.71606	39.827	55.0003	31.6023	34.8853	0.00221353	38.4304	54.4998	-20.7	-0.10586	14.2621	100
DATA	1664361596	555202007	75385	0	""	2022-09-28	12:39:56	12128.422	344.66159	39.8269	55.0003	31.6017	34.8853	0.00220492	38.4319	54.4998	-14.7	-0.10586	14.2616	179
DATA	1664361597	555202007	75395	0	""	2022-09-28	12:39:57	12130.456	344.67972	39.8278	55.0003	31.6001	34.8853	0.00220668	38.4341	54.4998	21.2	-0.10586	14.2618	129
DATA	1664361598	555083036	75405	0	""	2022-09-28	12:39:58	12134.226	344.54028	39.8275	55.0003	31.6002	34.8853	0.00219929	38.4334	54.4998	20.4	-0.10586	14.2618	128
DATA	1664361599	555083036	75415	0	""	2022-09-28	12:39:59	12133.714	343.92474	39.8265	55.0003	31.5997	34.8853	0.00219975	38.4324	54.4998	35.1	-0.10586	14.2618	162
